Location,Label
American Samoa,High Income
Andorra,High Income
Antigua And Barbuda,High Income
Aruba,High Income
Australia,High Income
Austria,High Income
"Bahamas, The",High Income
Bahrain,High Income
Barbados,High Income
Belgium,High Income
Bermuda,High Income
British Virgin Islands,High Income
Brunei Darussalam,High Income
Canada,High Income
Cayman Islands,High Income
Channel Islands,High Income
Chile,High Income
Croatia,High Income
Curacao,High Income
Cyprus,High Income
Czechia,High Income
Denmark,High Income
Estonia,High Income
Faroe Islands,High Income
Finland,High Income
France,High Income
French Polynesia,High Income
Germany,High Income
Gibraltar,High Income
Greece,High Income
Greenland,High Income
Guam,High Income
Guyana,High Income
"Hong Kong Sar, China",High Income
Hungary,High Income
Iceland,High Income
Ireland,High Income
Isle Of Man,High Income
Israel,High Income
Italy,High Income
Japan,High Income
"Korea, Rep.",High Income
Kuwait,High Income
Latvia,High Income
Liechtenstein,High Income
Lithuania,High Income
Luxembourg,High Income
"Macao Sar, China",High Income
Malta,High Income
Monaco,High Income
Nauru,High Income
Netherlands,High Income
New Caledonia,High Income
New Zealand,High Income
Northern Mariana Islands,High Income
Norway,High Income
Oman,High Income
Panama,High Income
Poland,High Income
Portugal,High Income
Puerto Rico,High Income
Qatar,High Income
Romania,High Income
San Marino,High Income
Saudi Arabia,High Income
Seychelles,High Income
Singapore,High Income
Sint Maarten (Dutch Part),High Income
Slovak Republic,High Income
Slovenia,High Income
Spain,High Income
St. Kitts And Nevis,High Income
St. Martin (French Part),High Income
Sweden,High Income
Switzerland,High Income
Trinidad And Tobago,High Income
Turks And Caicos Islands,High Income
United Arab Emirates,High Income
United Kingdom,High Income
United States,High Income
Uruguay,High Income
Virgin Islands (U.S.),High Income
Afghanistan,Low Income
Burkina Faso,Low Income
Burundi,Low Income
Central African Republic,Low Income
Chad,Low Income
"Congo, Dem. Rep.",Low Income
Eritrea,Low Income
Ethiopia,Low Income
"Gambia, The",Low Income
Guinea-Bissau,Low Income
"Korea, Dem. People'S Rep.",Low Income
Liberia,Low Income
Madagascar,Low Income
Malawi,Low Income
Mali,Low Income
Mozambique,Low Income
Niger,Low Income
Rwanda,Low Income
Sierra Leone,Low Income
Somalia,Low Income
South Sudan,Low Income
Sudan,Low Income
Syrian Arab Republic,Low Income
Togo,Low Income
Uganda,Low Income
"Yemen, Rep.",Low Income
Albania,Middle Income
Algeria,Middle Income
Angola,Middle Income
Argentina,Middle Income
Armenia,Middle Income
Azerbaijan,Middle Income
Bangladesh,Middle Income
Belarus,Middle Income
Belize,Middle Income
Benin,Middle Income
Bhutan,Middle Income
Bolivia,Middle Income
Bosnia And Herzegovina,Middle Income
Botswana,Middle Income
Brazil,Middle Income
Bulgaria,Middle Income
Cabo Verde,Middle Income
Cambodia,Middle Income
Cameroon,Middle Income
China,Middle Income
Colombia,Middle Income
Comoros,Middle Income
"Congo, Rep.",Middle Income
Costa Rica,Middle Income
Cote D'Ivoire,Middle Income
Cuba,Middle Income
Djibouti,Middle Income
Dominica,Middle Income
Dominican Republic,Middle Income
Ecuador,Middle Income
"Egypt, Arab Rep.",Middle Income
El Salvador,Middle Income
Equatorial Guinea,Middle Income
Eswatini,Middle Income
Fiji,Middle Income
Gabon,Middle Income
Georgia,Middle Income
Ghana,Middle Income
Grenada,Middle Income
Guatemala,Middle Income
Guinea,Middle Income
Haiti,Middle Income
Honduras,Middle Income
India,Middle Income
Indonesia,Middle Income
"Iran, Islamic Rep.",Middle Income
Iraq,Middle Income
Jamaica,Middle Income
Jordan,Middle Income
Kazakhstan,Middle Income
Kenya,Middle Income
Kiribati,Middle Income
Kosovo,Middle Income
Kyrgyz Republic,Middle Income
Lao Pdr,Middle Income
Lebanon,Middle Income
Lesotho,Middle Income
Libya,Middle Income
Malaysia,Middle Income
Maldives,Middle Income
Marshall Islands,Middle Income
Mauritania,Middle Income
Mauritius,Middle Income
Mexico,Middle Income
"Micronesia, Fed. Sts.",Middle Income
Moldova,Middle Income
Mongolia,Middle Income
Montenegro,Middle Income
Morocco,Middle Income
Myanmar,Middle Income
Namibia,Middle Income
Nepal,Middle Income
Nicaragua,Middle Income
Nigeria,Middle Income
North Macedonia,Middle Income
Pakistan,Middle Income
Palau,Middle Income
Papua New Guinea,Middle Income
Paraguay,Middle Income
Peru,Middle Income
Philippines,Middle Income
Russian Federation,Middle Income
Samoa,Middle Income
Sao Tome And Principe,Middle Income
Senegal,Middle Income
Serbia,Middle Income
Solomon Islands,Middle Income
South Africa,Middle Income
Sri Lanka,Middle Income
St. Lucia,Middle Income
St. Vincent And The Grenadines,Middle Income
Suriname,Middle Income
Tajikistan,Middle Income
Tanzania,Middle Income
Thailand,Middle Income
Timor-Leste,Middle Income
Tonga,Middle Income
Tunisia,Middle Income
Turkiye,Middle Income
Turkmenistan,Middle Income
Tuvalu,Middle Income
Ukraine,Middle Income
Uzbekistan,Middle Income
Vanuatu,Middle Income
Viet Nam,Middle Income
West Bank And Gaza,Middle Income
Zambia,Middle Income
Zimbabwe,Middle Income
